Incident Number w/year,Year of Incident,Call (911) Problem,Type of Incident,Type  Location,Type of Property,Reporting Area,Division,Sector,Year of Occurrence,Month of Occurence,Person Involvement Type,Victim Type,Victim Gender,UCR Disposition,Modus Operandi (MO),Weapon Used,NIBRS Crime,NIBRS Crime Category,NIBRS Crime Against,Zip Code,City,State
023246-2017,2023,12R - RESIDENTIAL ALARM,BURGLARY OF HABITATION - FORCED ENTRY,Single Family Residence - Occupied,Other,4262,SOUTHWEST,450,2017,January,Victim,Individual,Female,CBA (Over Age 17),THE AP FORCED ENTRY INTO THE COMP'S RESIDENCE AND TOOK PROPERTY.,Other,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75224,DALLAS,TX
258827-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,Apartment Complex/Building,3113,NORTHWEST,540,2017,November,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMPS VEHICLE FROM PARKING GARAGE,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75235,DALLAS,TX
132743-2020,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Other,Other,3008,NORTHWEST,550,2020,July,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT ENTERED & TOOK COMP'S VEHICLE WITHOUT CONSENT. NF,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75244,DALLAS,TX
200971-2019,2023,11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Parking (Business),Motor Vehicle,4541,SOUTHWEST,410,2019,October,Victim,Individual,Unknown,Suspended,UNKNOWN SUSPECT MADE FORCED ENTRY INTO COMP'S VEHICLE,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75208,DALLAS,TX
141627-2022,2023,PSE/11V - BURG MOTOR VEH,BMV (OF AUTO ACCESSORY) (P.C. 30.04(A)),Parking (Business),Motor Vehicle,1083,NORTHEAST,210,2022,August,Victim,Individual,Female,Suspended,UNKN SUSPECT DAMAGED & REMOVED PROPERTY FROM LISTED SUV,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75231,DALLAS,TX
134889-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Apartment Parking Lot,Motor Vehicle,2004,CENTRAL,140,2022,July,Victim,Individual,Male,Suspended,UNKN SUSPECT REMOVED CATALYTIC CONVERTER,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75204,DALLAS,TX
162528-2021,2023,PSE/09 - THEFT,"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",Parking (Business),Other,1061,NORTH CENTRAL,650,2021,September,Victim,Individual,Female,Suspended,UNKN SUSP REMOVED LUGGAGE FROM VEHICLE,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75231,DALLAS,TX
011521-2018,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,Outdoor Area Public/Private,4393,SOUTHWEST,450,2018,January,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMPS VEH WO PERM,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75232,DALLAS,TX
060545-2020,2023,11B - BURG OF BUS,BURGLARY OF BUILDING - FORCED ENTRY,Storage Facility,Other,4081,SOUTHWEST,410,2020,March,Victim,Individual,Male,Suspended,UNKNOWN SUSP FORCED ENTRY AND TOOK COMPS PROP WITHOUT CONSENT,Handgun,BURGLARY-BUSINESS,BURGLARY/ BREAKING & ENTERING,PROPERTY,75208,DALLAS,TX
140819-2022,2023,PSE/09 - THEFT,BMV,Outdoor Area Public/Private,Motor Vehicle,3110,NORTHWEST,510,2022,August,Victim,Individual,Female,Suspended,UNKN SUSPECT REMOVED PROPERTY FROM LISTED SUV,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75247,DALLAS,TX
119988-2021,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,4521,NORTH CENTRAL,640,2021,July,Victim,Individual,Male,Suspended,UNKN SUSP ENTERED VEHICLE AND REMOVED ITEMS.,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75240,DALLAS,TX
154885-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Parking Lot (All Others),Motor Vehicle,3112,NORTHWEST,510,2022,August,Victim,Individual,Female,Suspended,UNKN SUSPECT DAMAGED & REMOVED PROPERTY FROM GIVEN LOCATION,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75207,DALLAS,TX
141604-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Apartment Parking Lot,Motor Vehicle,4304,SOUTH CENTRAL,720,2022,August,Victim,Individual,Female,Suspended,COMP'S BACK LICENSE PLATE REMOVED OFF VEHICLE W/O PERMISSION,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75216,DALLAS,TX
045857-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,Apartment Complex/Building,4114,SOUTHWEST,440,2017,February,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT TOOK COMP VEHICLE WITH OUT PERMISSION.,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75211,DALLAS,TX
250336-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Outdoor Area Public/Private,Outdoor Area Public/Private,4224,SOUTH CENTRAL,710,2017,November,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT TOOK COMP'S VEHICLE.,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75216,DALLAS,TX
141941-2022,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Parking (Business),Motor Vehicle,1083,NORTHEAST,210,2022,August,Victim,Individual,Male,Suspended,UNK SUP TOOK COMPS VEHICLE BY UNK MEANS AND FLED LOC,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75231,DALLAS,TX
166000-2021,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),Park,Motor Vehicle,1024,NORTH CENTRAL,640,2021,September,Victim,Individual,Male,Suspended,UNK SUSPECT TOOK PROPERTY OFF COMP VEHICLE WITHOUT PERMISSION,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75230,DALLAS,TX
090499-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Complex/Building,Apartment Complex/Building,4343,SOUTHWEST,450,2017,April,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT STOLE COMP'S VEH WITHOUT PERMISSION FROM LOCATION,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75237,DALLAS,TX
234429-2021,2023,32 - SUSPICIOUS PERSON,BMV,Apartment Parking Lot,Motor Vehicle,6009,NORTH CENTRAL,620,2021,December,Victim,Individual,Male,CBA (Over Age 17),A/P ENTERED COMP'S VEHICLE AND TOOK PROPERTY W/O CONSENT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75252,DALLAS,TX
140624-2022,2023,11V - BURG MOTOR VEH,CRIM MISCHIEF > OR EQUAL $100 < $750,Parking (Business),Parking Lot,3011,NORTHWEST,550,2022,August,Victim,Individual,Female,Suspended,VEHICLE WINDOW BROKEN OUT BY UNKNOWN MEANS,Handgun,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PROPERTY,75229,DALLAS,TX
157252-2018,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Camp/Campground,Outdoor Area Public/Private,2225,SOUTHEAST,350,2018,July,Victim,Individual,Male,Suspended,UNK SUSP UNK MEANS STOLE COMP'S DISABLED VEH W/NO CONSENT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75217,DALLAS,TX
139716-2021,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,2026,CENTRAL,150,2021,August,Victim,Individual,Male,Suspended,UNK SUSP ENTERED VEHICLE W/O DAMAGE & REMOVED PROP W/O CONSENT.,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75204,DALLAS,TX
214609-2021,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,2004,CENTRAL,140,2021,November,Victim,Individual,Male,Suspended,UNK SUSP BROKE INTO VICT'S VEH AND TOOK PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75204,DALLAS,TX
192861-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",Outdoor Area Public/Private,1147,NORTHEAST,230,2017,August,Victim,Individual,Male,Suspended,UNK SUSP STOLE COMPS VEH BY UNK MEANS,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75214,DALLAS,TX
063590-2020,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Parking (Business),Other,4261,SOUTHWEST,450,2020,April,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT TOOK COMP'S VEHICLE WITHOUT PERMISSION.,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75224,DALLAS,TX
140172-2022,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking (Business),Parking Lot,1252,SOUTHEAST,330,2022,August,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75217,DALLAS,TX
206408-2017,2023,41/09 - THEFT - IN PROGRESS,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",Outdoor Area Public/Private,4290,SOUTHWEST,450,2017,September,Victim,Individual,Female,Suspended,UNKNOWN SUSPECTS USED VEHICLE W/OUT COMPLAINANT'S CONSENT.,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75224,DALLAS,TX
165062-2021,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,4421,NORTH CENTRAL,620,2021,September,Victim,Individual,Male,Suspended,UNK SUSP ENTERED VICTIM'S VEHICLE AND TOOK PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75248,DALLAS,TX
166682-2021,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,3059,NORTHWEST,530,2021,September,Victim,Individual,Male,Suspended,UNKN SUSP DAMAGED VEHICLE WINDOW AND REMOVED ITEMS,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75220,DALLAS,TX
164523-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,"Highway, Street, Alley ETC",Motor Vehicle,4114,SOUTHWEST,440,2017,July,Victim,Individual,Female,Suspended,UNK SUSP(S) TOOK VEHICLE WITHOUT CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75211,DALLAS,TX
141421-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,3108,NORTHWEST,540,2022,August,Victim,Individual,Female,Suspended,"UNKN SUSPECT DAMAGED, SEARCHED THROUGH LISTED VEHICLE",Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75219,DALLAS,TX
076693-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",Motor Vehicle,4228,SOUTH CENTRAL,710,2017,April,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMP'S VEH W/O CONSENT AND LEFT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75216,DALLAS,TX
126183-2021,2023,11B - BURG OF BUS,BURGLARY OF BUILDING - NO FORCED ENTRY,Construction Site,Commercial Property Occupied/Vacant,6065,CENTRAL,130,2021,July,Victim,Individual,Male,Suspended,UNKNOWN SUSP STOLE PROPERTY FROM CONSTRUCTION SITE.,Handgun,BURGLARY-BUSINESS,BURGLARY/ BREAKING & ENTERING,PROPERTY,75201,DALLAS,TX
130062-2022,2023,11R - BURG OF RES,BURGLARY OF BUILDING - FORCED ENTRY,Storage Facility,None,1013,NORTH CENTRAL,630,2022,July,Victim,Individual,Male,Suspended,UNK SUSPS ENTERED COMPS STORAGE AND TOOK COMPS PROP W/O CONSENT,Handgun,BURGLARY-BUSINESS,BURGLARY/ BREAKING & ENTERING,PROPERTY,75240,DALLAS,TX
040989-2021,2023,11V - BURG MOTOR VEH,BMV,Parking (Business),Parking Lot,2038,CENTRAL,120,2021,March,Victim,Individual,Female,Suspended,UNK SUSP BROKE VEH WINDOW AND TOOK PROP W/O CONSENT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75201,DALLAS,TX
159604-2020,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Single Family Residence - Occupied,Residential Property Occupied/Vacant,2225,SOUTHEAST,350,2020,September,Registered Owner,Individual,Male,Suspended,SUSP TOOK TRUCK WITHOUT PERMISSION,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75217,DALLAS,TX
103292-2018,2023,09V-01 UUMV JUST OCRD,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking (Business),Motor Vehicle,3004,NORTHWEST,550,2018,May,Victim,Individual,Male,CBA (Over Age 17),UNKNOWN SUSPECT STOLE COMPS CAR USING THE KEYS,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75229,DALLAS,TX
126009-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,2078,CENTRAL,150,2022,July,Victim,Individual,Male,Suspended,UNK SUSP SHATTERED VEH WINDOW & REMOVED PROPERTY W/O PERMISSION,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75226,DALLAS,TX
178162-2021,2023,PSE/09 - THEFT,LOST PROPERTY (NO OFFENSE),Convenience Store,Other,4336,SOUTH CENTRAL,730,2021,September,Victim,Individual,Male,Suspended,"VICTIM LEFT HIS CELL PHONE AT WALGREENS COUNTER TOP,",Handgun,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,75241,DALLAS,TX
137700-2017,2023,11R - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Single Family Residence - Occupied,Residential Property Occupied/Vacant,2223,SOUTHEAST,350,2017,June,Victim,Individual,Male,Suspended,UNK SUSP USED UNK DEVICE TO PRY OPEN WINDOW AND ENTER COMP'S HOME,Other,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75217,DALLAS,TX
146656-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Outdoor Area Public/Private,Motor Vehicle,4422,NORTH CENTRAL,620,2022,August,Victim,Individual,Male,Suspended,UNK SUSP STOLE THE CATALYTIC CONVERTER FROM VEHICLE W/O CONSENT,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75080,DALLAS,TX
034009-2018,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Outdoor Area Public/Private,Parking Lot,4032,SOUTHWEST,420,2018,February,Victim,Individual,Male,Suspended,UUMV,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75212,DALLAS,TX
139576-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Apartment Residence,Motor Vehicle,1084,NORTHEAST,210,2022,August,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMPS REAR VEH LICENSE PLATE W/O COMPS CONSENT,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75231,DALLAS,TX
126738-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Parking (Business),Motor Vehicle,2047,CENTRAL,130,2022,July,Victim,Individual,Male,Open,REMOVED CATALYTIC CONVERTER FROM 2011 TOYOTA TUNDRA,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75202,DALLAS,TX
245653-2017,2023,11B - BURG OF BUS,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (All Others),Motor Vehicle,3004,NORTHWEST,550,2017,October,Victim,Individual,Male,Suspended,"SUSP CUT FENCE, ENTERED, TOOK VEHICLE, REMOVED GATE HINGE EXITED",Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75229,DALLAS,TX
145363-2018,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",Outdoor Area Public/Private,4375,SOUTH CENTRAL,750,2018,June,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT TOOK COMPLAINANT'S VEHICLE WITHOUT HIS PERMISSION,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75241,DALLAS,TX
128449-2022,2023,09V-01 UUMV JUST OCRD,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Gas or Service Station,Commercial Property Occupied/Vacant,4228,SOUTH CENTRAL,710,2022,July,Victim,Individual,Male,CBA (Over Age 17),SUSPECT TOOK VEH AND FLED LOC. VEH WAS RECOVERED,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75216,DALLAS,TX
255868-2017,2023,11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,"Highway, Street, Alley ETC",Motor Vehicle,4117,SOUTHWEST,410,2017,November,Victim,Individual,Male,Suspended,SUSP BROKE INTO COMP VEHICLE AND ATTEMPTE TO TAKE WITHOUT CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75208,DALLAS,TX
067938-2022,2024,11B - BURG OF BUS,BURGLARY OF BUILDING - FORCED ENTRY,Storage Facility,Other,4313,SOUTHWEST,430,2022,March,Victim,Individual,Female,Suspended,UNK SUSP FORCED ENTRY INTO BUILDING AND TOOK PROPERTY,Handgun,BURGLARY-BUSINESS,BURGLARY/ BREAKING & ENTERING,PROPERTY,75236,DALLAS,TX
061193-2022,2024,09 - THEFT,"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",Outdoor Area Public/Private,Outdoor Area Public/Private,2196,SOUTHEAST,330,2022,April,Victim,Individual,Male,Suspended,SUSP(S) TOOK COMP'S PROPERTY WITHOUT CONSENT,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75217,DALLAS,TX
047355-2022,2024,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,4424,NORTHEAST,250,2022,March,Victim,Individual,Male,Suspended,UNK SUSPECT PUNCHED OUT DOOR LOCK & STOLE PROPERTY W/O CONSENT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75243,DALLAS,TX
033730-2023,2024,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,2006,CENTRAL,120,2023,February,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT DAMAGED & REMOVED PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75204,DALLAS,TX
033023-2022,2024,11R - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Single Family Residence - Occupied,Residential Property Occupied/Vacant,8809,SOUTHWEST,430,2022,February,Victim,Individual,Male,Suspended,UNK SUSP ENTERED INTO COMP'S RESIDENCE AND TOOK PROPERTY,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75249,DALLAS,TX
076751-2022,2024,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,4087,SOUTHWEST,410,2022,May,Victim,Individual,Male,Suspended,"UNKN SUSP SHATTERED WINDOWS TO VEHICLE, REMOVING PROPERTY",Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75211,DALLAS,TX
032045-2022,2024,11R - BURG OF RES,BURGLARY OF HABITATION -NO FORCED ENTRY,Apartment Complex/Building,Motor Vehicle,1181,CENTRAL,140,2022,February,Victim,Individual,Male,Suspended,UNK SUSP DISABLED ELECTRIC LOCK AND TOOK PROPERTY,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75206,DALLAS,TX
036203-2022,2024,11R - BURG OF RES,BURGLARY OF BUILDING - FORCED ENTRY,Condominium/Townhome Building,Apartment Complex/Building,1009,NORTH CENTRAL,630,2022,February,Victim,Individual,Male,Suspended,UNK SUSP FORCED ENTRY AND TOOK PROPERTY FROM VACANT APARTMENT,Handgun,BURGLARY-BUSINESS,BURGLARY/ BREAKING & ENTERING,PROPERTY,75254,DALLAS,TX
117843-2022,2024,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Hotel/Motel/ETC,Commercial Property Occupied/Vacant,1061,NORTH CENTRAL,650,2022,June,Victim,Individual,Male,Suspended,UNK SUSP ENTERED VEH BY UNK MEANS AND LEFT WITHOUT CONSENT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75231,DALLAS,TX
042050-2022,2024,11R - BURG OF RES,BURGLARY - PRELIMINARY INVESTIGATION,Apartment Residence,Apartment Complex/Building,2159,SOUTHEAST,340,2021,July,Victim,Individual,Female,Suspended,UNK SUSP ENTERED APARTMENT UNIT AND TOOK COMP PROPERTY,Handgun,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,75215,DALLAS,TX
027574-2022,2024,PSE/09 - THEFT,CRIM MISCHIEF > OR EQUAL $100 < $750,Apartment Parking Lot,Motor Vehicle,9610,NORTHEAST,230,2022,February,Victim,Individual,Male,Suspended,UNKN SUSP KNOCKED OUT THE RIGHT/LEFT DOOR WINDOW OF SATURN,Handgun,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PROPERTY,75238,DALLAS,TX
156015-2021,2024,11R - BURG OF RES,BURGLARY OF HABITATION -NO FORCED ENTRY,Single Family Residence - Occupied,Residential Property Occupied/Vacant,1054,NORTHEAST,240,2021,August,Victim,Individual,Female,Suspended,UKNOWNS SUPS ENTERED COMPS GARAGE & TOOK COMPS VEH,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75238,DALLAS,TX
015881-2022,2024,PSE/09 - THEFT,BMV,Apartment Parking Lot,Motor Vehicle,1084,NORTHEAST,210,2022,January,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT REMOVED PROPERTY FROM LISTED VEHICLE,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75231,DALLAS,TX
132649-2022,2024,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Outdoor Area Public/Private,Motor Vehicle,1232,SOUTHEAST,310,2022,July,Victim,Individual,Female,Suspended,UNKN SUSP REMOVED REAR LICENSE PLATE OFF PICK-UP,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75227,DALLAS,TX
018394-2022,2024,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,4381,SOUTH CENTRAL,740,2022,January,Victim,Individual,Female,Suspended,UNK SUSP ENTERED VICT'S VEH AND TOOK PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75237,DALLAS,TX
024317-2022,2024,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,4526,NORTHEAST,210,2022,February,Victim,Individual,Male,Suspended,"UNK SUSPECT ENTERED, SEARCH & REMOVED PROPERTY FROM VEHICLE",Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75231,DALLAS,TX
100996-2022,2024,PSE/11V - BURG MOTOR VEH,BMV,Outdoor Area Public/Private,Motor Vehicle,4367,SOUTH CENTRAL,750,2022,June,Victim,Individual,Female,Suspended,UNK SUSP ENTERED VEHICLE W/O DAMAGE & STOLE HANDGUN W/O CONSNT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75241,DALLAS,TX
043968-2022,2024,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,1090,NORTHEAST,230,2022,March,Victim,Individual,Female,Suspended,UNK SUSP ENTERED THE COMPLAINANT'S VEHICLE AND REMOVED PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75238,DALLAS,TX
002033-2022,2024,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,1140,CENTRAL,140,2022,January,Victim,Individual,Female,Suspended,UNK SUSP BROKE INTO VICT'S VEH AND TOOK PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75206,DALLAS,TX
010812-2022,2024,11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,"Highway, Street, Alley ETC",Other,1181,CENTRAL,140,2022,January,Victim,Individual,Male,Suspended,UNK SUSP ENTERED VEH/DAMAGED PROP,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75206,DALLAS,TX
051142-2022,2024,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,3130,NORTHWEST,510,2022,March,Victim,Individual,Male,Suspended,"UNK SUSP BROKE INTO COMP'S VEH W/O PERMISSION, TOOK PROPERTY.",Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75207,DALLAS,TX
093373-2022,2024,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,3088,NORTHWEST,520,2022,May,Victim,Individual,Female,Suspended,UNK SUSP ENTERED THE COMPLAINANTS VEHICLE AND REMOVED PROPERTY.,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75209,DALLAS,TX
